日期,是否空仓,活跃品种数,合计手数,AU盈亏,HC盈亏,P盈亏,Y盈亏,保证金_AU,保证金_HC,保证金_P,保证金_Y,账户日盈亏,手续费,账户日收益,合计保证金,持仓_AU,持仓_HC,持仓_P,持仓_Y,操作说明
2024-12-03,False,2,4,160.0,0.0,80.0,0.0,273666.8,0.0,26798.800000000003,0.0,60.0,0.0,5.999999999999963e-05,300465.6,多carry 黄金2504 1手(多)@621.02 / 黄金2506 1手(空)@622.92 价差=-1.9,,空carry 棕榈油2504 1手(空)@9722 / 棕榈油2505 1手(多)@9420 价差=302,,[AU] 多carry 黄金2504 1手(多)@621.02 / 黄金2506 1手(空)@622.92 价差=-1.9 z=-1.10 | [P] 空carry 棕榈油2504 1手(空)@9722 / 棕榈油2505 1手(多)@9420 价差=302 z=2.94
2024-12-04,False,2,4,-40.0,0.0,280.0,35.0,0.0,0.0,26882.800000000003,21943.600000000002,68.75,45.0,6.87500000000001e-05,48826.4,,,空carry 棕榈油2504 1手(空)@9748 / 棕榈油2505 1手(多)@9454 价差=294,多carry 豆油2505 1手(多)@7900 / 豆油2507 1手(空)@7774 价差=126,[P] 空carry 棕榈油2504 1手(空)@9748 / 棕榈油2505 1手(多)@9454 价差=294 z=2.60 | [Y] 多carry 豆油2505 1手(多)@7900 / 豆油2507 1手(空)@7774 价差=126 z=-0.95
2024-12-05,False,3,6,-140.0,-36.99,520.0,-5.0,273226.8,8390.4,26972.4,0.0,84.5,51.99,8.45020000000338e-05,308589.6,空carry 黄金2504 1手(空)@620.14 / 黄金2506 1手(多)@621.8 价差=-1.66,空carry 热卷2504 1手(空)@3497 / 热卷2505 1手(多)@3495 价差=2,空carry 棕榈油2504 1手(空)@9766 / 棕榈油2505 1手(多)@9500 价差=266,,[AU] 空carry 黄金2504 1手(空)@620.14 / 黄金2506 1手(多)@621.8 价差=-1.66 z=0.86 | [HC] 空carry 热卷2504 1手(空)@3497 / 热卷2505 1手(多)@3495 价差=2 z=2.00 | [P] 空carry 棕榈油2504 1手(空)@9766 / 棕榈油2505 1手(多)@9500 价差=266 z=2.08
2024-12-06,False,4,8,-120.0,-10.0,-280.0,-125.0,271893.6,8350.8,27179.600000000006,21952.0,-133.75,5.0,-0.00013375000000004236,329376.0,空carry 黄金2504 1手(空)@617.16 / 黄金2506 1手(多)@618.72 价差=-1.56,空carry 热卷2504 1手(空)@3482 / 热卷2505 1手(多)@3477 价差=5,空carry 棕榈油2504 1手(空)@9814 / 棕榈油2505 1手(多)@9600 价差=214,多carry 豆油2505 1手(多)@7896 / 豆油2507 1手(空)@7784 价差=112,[AU] 空carry 黄金2504 1手(空)@617.16 / 黄金2506 1手(多)@618.72 价差=-1.56 z=1.72 | [HC] 空carry 热卷2504 1手(空)@3482 / 热卷2505 1手(多)@3477 价差=5 z=2.13 | [P] 空carry 棕榈油2504 1手(空)@9814 / 棕榈油2505 1手(多)@9600 价差=214 z=1.28 | [Y] 多carry 豆油2505 1手(多)@7896 / 豆油2507 1手(空)@7784 价差=112 z=-1.41
2024-12-09,False,4,8,-60.0,90.0,-120.0,60.0,273310.4,8373.599999999999,27056.4,21795.2,-7.5,0.0,-7.49999999998748e-06,330535.6,空carry 黄金2504 1手(空)@620.44 / 黄金2506 1手(多)@621.88 价差=-1.44,空carry 热卷2504 1手(空)@3492 / 热卷2505 1手(多)@3486 价差=6,空carry 棕榈油2504 1手(空)@9784 / 棕榈油2505 1手(多)@9542 价差=242,多carry 豆油2505 1手(多)@7834 / 豆油2507 1手(空)@7734 价差=100,[AU] 空carry 黄金2504 1手(空)@620.44 / 黄金2506 1手(多)@621.88 价差=-1.44 z=2.31 | [HC] 空carry 热卷2504 1手(空)@3492 / 热卷2505 1手(多)@3486 价差=6 z=1.94 | [P] 空carry 棕榈油2504 1手(空)@9784 / 棕榈油2505 1手(多)@9542 价差=242 z=1.62 | [Y] 多carry 豆油2505 1手(多)@7834 / 豆油2507 1手(空)@7734 价差=100 z=-1.71
2024-12-10,False,3,6,60.0,-7.1,240.0,280.0,274362.0,0.0,26373.200000000004,21893.200000000004,143.23,7.1,0.00014322624999999742,322628.4,空carry 黄金2504 1手(空)@622.86 / 黄金2506 1手(多)@624.24 价差=-1.38,,空carry 棕榈油2504 1手(空)@9546 / 棕榈油2505 1手(多)@9292 价差=254,多carry 豆油2505 1手(多)@7872 / 豆油2507 1手(空)@7766 价差=106,[AU] 空carry 黄金2504 1手(空)@622.86 / 黄金2506 1手(多)@624.24 价差=-1.38 z=2.25 | [P] 空carry 棕榈油2504 1手(空)@9546 / 棕榈油2505 1手(多)@9292 价差=254 z=1.80 | [Y] 多carry 豆油2505 1手(多)@7872 / 豆油2507 1手(空)@7766 价差=106 z=-1.30
2024-12-11,False,2,4,20.0,0.0,100.0,-5.0,276795.2,0.0,26507.600000000002,0.0,28.75,5.0,2.8750000000042176e-05,303302.8,空carry 黄金2504 1手(空)@628.36 / 黄金2506 1手(多)@629.8 价差=-1.44,,空carry 棕榈油2504 1手(空)@9582 / 棕榈油2505 1手(多)@9352 价差=230,,[AU] 空carry 黄金2504 1手(空)@628.36 / 黄金2506 1手(多)@629.8 价差=-1.44 z=1.69 | [P] 空carry 棕榈油2504 1手(空)@9582 / 棕榈油2505 1手(多)@9352 价差=230 z=1.40
2024-12-12,False,2,4,-140.0,0.0,-80.0,0.0,278753.2,0.0,26112.800000000003,0.0,-55.0,0.0,-5.499999999999096e-05,304866.0,空carry 黄金2504 1手(空)@632.8 / 黄金2506 1手(多)@634.26 价差=-1.46,,空carry 棕榈油2504 1手(空)@9436 / 棕榈油2505 1手(多)@9216 价差=220,,[AU] 空carry 黄金2504 1手(空)@632.8 / 黄金2506 1手(多)@634.26 价差=-1.46 z=1.47 | [P] 空carry 棕榈油2504 1手(空)@9436 / 棕榈油2505 1手(多)@9216 价差=220 z=1.26
2024-12-13,False,3,6,200.0,0.0,-40.0,75.0,276232.0,0.0,26264.0,21985.600000000002,58.75,5.0,5.8749999999974364e-05,324481.6,空carry 黄金2504 1手(空)@627.14 / 黄金2506 1手(多)@628.46 价差=-1.32,,空carry 棕榈油2504 1手(空)@9494 / 棕榈油2505 1手(多)@9266 价差=228,多carry 豆油2505 1手(多)@7910 / 豆油2507 1手(空)@7794 价差=116,[AU] 空carry 黄金2504 1手(空)@627.14 / 黄金2506 1手(多)@628.46 价差=-1.32 z=1.87 | [P] 空carry 棕榈油2504 1手(空)@9494 / 棕榈油2505 1手(多)@9266 价差=228 z=1.31 | [Y] 多carry 豆油2505 1手(多)@7910 / 豆油2507 1手(空)@7794 价差=116 z=-0.78
2024-12-16,False,2,4,-40.0,-46.99,280.0,-5.0,0.0,8389.199999999999,26426.4,0.0,47.0,51.99,4.7002250000001076e-05,34815.6,,空carry 热卷2504 1手(空)@3498 / 热卷2505 1手(多)@3493 价差=5,空carry 棕榈油2504 1手(空)@9554 / 棕榈油2505 1手(多)@9322 价差=232,,[HC] 空carry 热卷2504 1手(空)@3498 / 热卷2505 1手(多)@3493 价差=5 z=1.68 | [P] 空carry 棕榈油2504 1手(空)@9554 / 棕榈油2505 1手(多)@9322 价差=232 z=1.30
