日期,era,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合_无天气盈亏,组合日收益_3M,core保证金,新闻可用
2010-12-08,final_only,-1809.0,0.0,-1809.0,0.0,0.0,-1809.0,-1809.0,-0.000603,27369.0,0
2010-12-09,final_only,-725.0,0.0,-725.0,0.0,0.0,-725.0,-725.0,-0.00024166666666666667,27686.0,0
2010-12-10,final_only,-1818.0,0.0,-1818.0,0.0,0.0,-1818.0,-1818.0,-0.000606,41207.0,0
2010-12-13,final_only,-185.0,0.0,-185.0,0.0,0.0,-185.0,-185.0,-6.166666666666667e-05,12337.0,0
2010-12-14,final_only,660.0,0.0,660.0,0.0,0.0,660.0,660.0,0.00022,12379.0,0
2010-12-15,final_only,-450.0,0.0,-450.0,0.0,0.0,-450.0,-450.0,-0.00015,12290.0,0
2010-12-16,final_only,589.0,0.0,589.0,0.0,0.0,589.0,589.0,0.00019633333333333333,22088.0,0
2010-12-17,final_only,-365.0,0.0,-365.0,0.0,0.0,-365.0,-365.0,-0.00012166666666666667,22229.0,0
2010-12-20,final_only,-287.0,0.0,-287.0,0.0,0.0,-287.0,-287.0,-9.566666666666667e-05,27461.0,0
2010-12-21,final_only,-399.0,0.0,-399.0,0.0,0.0,-399.0,-399.0,-0.000133,20960.0,0
2010-12-22,final_only,1335.0,0.0,1335.0,0.0,0.0,1335.0,1335.0,0.000445,19219.0,0
2010-12-23,final_only,-1769.0,0.0,-1769.0,0.0,0.0,-1769.0,-1769.0,-0.0005896666666666666,39715.0,0
2010-12-24,final_only,163.0,0.0,163.0,0.0,0.0,163.0,163.0,5.433333333333333e-05,42719.0,0
2010-12-27,final_only,-1347.0,0.0,-1347.0,0.0,0.0,-1347.0,-1347.0,-0.000449,53061.0,0
2010-12-28,final_only,-1555.0,0.0,-1555.0,0.0,0.0,-1555.0,-1555.0,-0.0005183333333333333,36625.0,0
2010-12-29,final_only,-474.0,0.0,-474.0,0.0,0.0,-474.0,-474.0,-0.000158,28807.0,0
2010-12-30,final_only,-1335.0,0.0,-1335.0,0.0,0.0,-1335.0,-1335.0,-0.000445,34615.0,0
2010-12-31,final_only,-685.0,0.0,-685.0,0.0,0.0,-685.0,-685.0,-0.00022833333333333334,41625.0,0
2011-01-04,final_only,-787.0,0.0,-787.0,0.0,0.0,-787.0,-787.0,-0.00026233333333333333,50222.0,0
2011-01-05,final_only,2924.0,0.0,2924.0,0.0,0.0,2924.0,2924.0,0.0009746666666666666,45139.0,0
2011-01-06,final_only,-1470.0,0.0,-1470.0,0.0,0.0,-1470.0,-1470.0,-0.00049,44840.0,0
2011-01-07,final_only,-609.0,0.0,-609.0,0.0,0.0,-609.0,-609.0,-0.000203,29382.0,0
2011-01-10,final_only,-296.0,0.0,-296.0,0.0,0.0,-296.0,-296.0,-9.866666666666666e-05,41509.0,0
2011-01-11,final_only,9.0,0.0,9.0,0.0,0.0,9.0,9.0,3e-06,35005.0,0
2011-01-12,final_only,843.0,0.0,843.0,0.0,0.0,843.0,843.0,0.000281,36073.0,0
2011-01-13,final_only,939.0,0.0,939.0,0.0,0.0,939.0,939.0,0.000313,29647.0,0
2011-01-14,final_only,267.0,0.0,267.0,0.0,0.0,267.0,267.0,8.9e-05,20482.0,0
2011-01-17,final_only,-396.0,0.0,-396.0,0.0,0.0,-396.0,-396.0,-0.000132,26916.0,0
