日期,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合日收益_3M,dual保证金
2024-04-19,0.0,0.0,0.0,-3452.054838770868,-5785.6235918887,-9237.678430659567,-0.0030792261435531893,0.0
2024-04-22,0.0,0.0,0.0,-4685.333106270337,3251.84190564215,-1433.4912006281875,-0.00047783040020939584,0.0
2024-04-23,0.0,0.0,0.0,2174.74584895878,-194.00336306795,1980.7424858908298,0.0006602474952969433,0.0
2024-04-24,0.0,0.0,0.0,-41.14732724902497,1641.8146475808499,1600.6673203318248,0.0005335557734439416,0.0
2024-04-25,0.0,0.0,0.0,1434.5513339984823,-798.72476234635,635.8265716521323,0.00021194219055071077,0.0
2024-04-26,0.0,0.0,0.0,-1024.4601733687248,0.0,-1024.4601733687248,-0.0003414867244562416,0.0
2024-04-29,0.0,0.0,0.0,-583.7541929979348,548.57458880875,-35.179604189184715,-1.1726534729728239e-05,0.0
2024-04-30,0.0,0.0,0.0,-1169.3209951064825,-1144.28659793555,-2313.6075930420325,-0.0007712025310140108,0.0
2024-05-06,0.0,0.0,0.0,616.1350386990969,-700.9455707531499,-84.81053205405306,-2.8270177351351018e-05,0.0
2024-05-07,0.0,0.0,0.0,-398.13297296022546,1216.7687163487,818.6357433884746,0.00027287858112949153,0.0
2024-05-08,0.0,0.0,0.0,-260.75144230346086,-713.56838105765,-974.3198233611108,-0.0003247732744537036,0.0
2024-05-09,0.0,0.0,0.0,4525.803525934988,2001.6278478998001,6527.431373834788,0.0021758104579449296,0.0
2024-05-10,0.0,0.0,0.0,-1224.4456683352169,-2456.4006414189503,-3680.846309754167,-0.0012269487699180558,0.0
2024-05-13,0.0,0.0,0.0,-969.3015065278832,-1149.8004292687,-2119.1019357965833,-0.0007063673119321944,0.0
2024-05-14,0.0,0.0,0.0,1407.3707722131137,-133.2852694026,1274.0855028105136,0.00042469516760350453,0.0
2024-05-15,0.0,0.0,0.0,1849.3647910547434,-125.20822838975,1724.1565626649933,0.0005747188542216644,0.0
2024-05-16,0.0,0.0,0.0,219.30467630580222,-362.15441920635,-142.84974290054777,-4.7616580966849254e-05,0.0
2024-05-17,0.0,0.0,0.0,-6.857142857142858,416.45387500009997,409.59673214295714,0.00013653224404765237,0.0
2024-05-20,0.0,0.0,0.0,0.0,6861.7139259849,6861.7139259849,0.0022872379753283,0.0
2024-05-21,0.0,0.0,0.0,0.0,180.89041616955,180.89041616955,6.029680538985e-05,0.0
2024-05-22,0.0,0.0,0.0,0.0,-3867.29803584245,-3867.29803584245,-0.0012890993452808167,0.0
